1.000000 31.000000 0.000000 30.000000 0.000000 31.000000 30.000000 0 7.000000 0.000000 7.000000 0.000000
1.000000 31.000000 -0.000000 28.566183 -0.000000 31.000000 28.566183 1 6.438502 0.000000 6.000000 0.000000
1.000000 31.000000 0.000000 29.592376 -0.000000 31.000000 29.592376 2 4.910460 0.000000 4.500000 0.000000
1.000000 31.000000 0.000000 26.610706 0.000000 31.000000 26.610706 3 2.834832 -0.000000 2.500000 0.000000
0.000000 -0.000000 0.000000 3.687424 0.000000 0.000000 3.687424 4 0.759119 -0.000000 0.500000 0.000000
0.000000 0.000000 0.000000 0.721794 0.000000 0.000000 0.721794 5 -0.812599 -0.000000 -0.500000 0.000000
0.000000 -0.000000 0.000000 0.766198 0.000000 0.000000 0.766198 6 -1.571599 -0.000000 -1.500000 0.000000
0.000000 -0.000000 -0.000000 -0.134871 0.000000 0.000000 0.134871 7 -1.486211 0.000000 -1.000000 0.000000
0.000000 -0.000000 0.000000 0.989935 0.000000 0.000000 0.989935 8 -0.788181 -0.000000 -0.500000 0.000000
0.000000 -0.000000 0.000000 0.816880 0.000000 0.000000 0.816880 9 0.127936 -0.000000 0.000000 0.000000
0.000000 0.000000 -0.000000 -1.766005 -0.000000 0.000000 1.766005 10 0.854060 0.000000 0.500000 0.000000
0.000000 0.000000 -0.000000 1.438877 0.000000 0.000000 1.438877 11 1.112399 -0.000000 1.000000 0.000000
0.000000 0.000000 -0.000000 0.659457 0.000000 0.000000 0.659457 12 0.843267 -0.000000 0.500000 0.000000
0.000000 0.000000 -0.000000 1.572883 -0.000000 0.000000 1.572883 13 0.207936 -0.000000 0.000000 0.000000
0.000000 0.000000 -0.000000 0.665828 -0.000000 0.000000 0.665828 14 -0.490964 0.000000 0.000000 0.000000
0.000000 -0.000000 -0.000000 -0.687665 -0.000000 0.000000 0.687665 15 -0.938957 0.000000 -0.500000 0.000000
0.000000 0.000000 -0.000000 -0.687665 -0.000000 0.000000 0.687665 16 -0.938957 0.000000 -0.500000 0.000000
0.000000 0.000000 -0.000000 0.665828 -0.000000 0.000000 0.665828 17 -0.490964 0.000000 0.000000 0.000000
0.000000 0.000000 -0.000000 1.572883 -0.000000 0.000000 1.572883 18 0.207936 -0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.659457 0.000000 0.000000 0.659457 19 0.843267 -0.000000 0.500000 0.000000
0.000000 -0.000000 -0.000000 1.438877 0.000000 0.000000 1.438877 20 1.112399 -0.000000 1.000000 0.000000
0.000000 0.000000 -0.000000 -1.766005 -0.000000 0.000000 1.766005 21 0.854060 0.000000 0.500000 0.000000
0.000000 -0.000000 0.000000 0.816880 0.000000 0.000000 0.816880 22 0.127936 -0.000000 0.000000 0.000000
0.000000 -0.000000 -0.000000 0.989935 0.000000 0.000000 0.989935 23 -0.788181 -0.000000 -0.500000 0.000000
0.000000 -0.000000 -0.000000 -0.134871 0.000000 0.000000 0.134871 24 -1.486211 0.000000 -1.000000 0.000000
0.000000 0.000000 0.000000 0.766198 0.000000 0.000000 0.766198 25 -1.571599 -0.000000 -1.500000 0.000000
0.000000 0.000000 -0.000000 0.721794 0.000000 0.000000 0.721794 26 -0.812599 -0.000000 -0.500000 0.000000
0.000000 -0.000000 0.000000 3.687424 -0.000000 0.000000 3.687424 27 0.759119 -0.000000 0.500000 0.000000
1.000000 31.000000 0.000000 26.610706 0.000000 31.000000 26.610706 28 2.834832 0.000000 2.500000 0.000000
1.000000 31.000000 0.000000 29.592376 -0.000000 31.000000 29.592376 29 4.910460 0.000000 4.500000 0.000000
1.000000 31.000000 -0.000000 28.566183 -0.000000 31.000000 28.566183 30 6.438502 0.000000 6.000000 0.000000
